semVetorizacao,comVetorizacaoCompilador,comVetorizacaoProgramador
64.226,49.934,67.931
84.730,48.494,51.972
59.253,48.652,45.000
58.296,45.505,51.132
72.746,45.474,66.533
87.831,47.280,51.901
68.527,45.962,52.558
60.152,45.964,64.717
57.575,49.447,45.762
230.276,45.721,51.718
