Codigo,Flag,Tempo de Compilacao(s),Intervalo de Confianca,Nome do Experimento
0,code1,-O0,0.0359,"(0.03475891167854381, 0.037041088321456195)",code1 -O0
1,code1,-O1,0.0404,"(0.039631014432291334, 0.04116898556770866)",code1 -O1
2,code1,-O2,0.0464,"(0.04563101443229133, 0.04716898556770866)",code1 -O2
3,code1,-O3,0.0484,"(0.047796758089935734, 0.04900324191006426)",code1 -O3
4,code1,-Os,0.043,"(0.04232555504110974, 0.04367444495889025)",code1 -Os
5,code2,-O0,0.03370000000000001,"(0.033354449785595104, 0.03404555021440491)",code2 -O0
6,code2,-O1,0.039099999999999996,"(0.038473637044343485, 0.039726362955656506)",code2 -O1
7,code2,-O2,0.042199999999999994,"(0.04189837904496786, 0.04250162095503213)",code2 -O2
8,code2,-O3,0.04209999999999999,"(0.04169393036196666, 0.04250606963803332)",code2 -O3
9,code2,-Os,0.040799999999999996,"(0.040347568567451794, 0.0412524314325482)",code2 -Os
