,Experimento,Media,Intervalo de Confiança,Tempo de Espera (10 Experimentos)
0,Mergesort,0.018,"(0.014983790449678677, 0.02101620955032132)","[0.01, 0.02, 0.02, 0.02, 0.01, 0.02, 0.02, 0.02, 0.02, 0.02]"
1,Quicksort,0.006999999999999999,"(0.0035444978559509553, 0.010455502144049044)","[0.0, 0.01, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.01]"
2,Heapsort,0.009999999999999998,"(0.009999999999999997, 0.01)","[0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]"
